locker_stat_id,district,facility_name,address,operation_status,installed_year,removed_year,locker_count,2021,2022,2023,2024,2025,2026_h1,snapshot_date,source_sheet
STAT_99c35e6d1838,강서구,화곡2동주민센터,곰달래로37길 13,운영,2021,,12,0.32,0.29,0.29,0.2826291669767242,0.2821002204445692,0.26993396380144496,2026-06-30,구별 연간 점유율
STAT_7d8d8d33828e,강서구,길꽃어린이도서관,금낭화로24길 5,운영,2019,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_7a8f5894fece,강서구,화곡8동 주민센터,곰달래로25길 45,운영,2017,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_5c873e7265ba,강서구,가로공원공영주차장1번출구,가로공원로 189,운영,2016,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_4318d33b4163,강서구,화곡 6-1 공영주차장,우장산로 114,운영,2015,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_d6a3c7b99c3c,강서구,화곡 3-1 공영주차장,화곡로15길 40,운영,2014,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_638d593500cd,강서구,화곡 1-1 공영주차장,곰달래로15길 28,운영,2014,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_f6e9b8766022,강서구,내발산동 문화센터,강서로52길 89,운영,2014,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_fb84bfad2874,강서구,곰달래복지문화센터,강서로5길 50,운영,2013,,26,,,,,,,2026-06-30,구별 연간 점유율
STAT_9e82a3101669,강서구,화곡4동 주민센터,곰달래로57가길 26,운영,2013,,26,,,,,,,2026-06-30,구별 연간 점유율
STAT_dbbb210dd022,강서구,볏골공원공영주차장,까치산로4길 22,운영,2013,,26,,,,,,,2026-06-30,구별 연간 점유율
STAT_f80238d23915,강서구,공항동 주민센터,송정로 45,운영,2013,,26,,,,,,,2026-06-30,구별 연간 점유율
STAT_adbd014f8e18,강서구,발산1동주민센터,강서로47길 54,운영,2018,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_0ffcc957b341,강서구,신방화역환승주차장,마곡서1로 111-12,운영,2021,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_0f9c71f4ccd3,구로구,가리봉동주민센터,우마2길 35,철거,,2024,12,0.29,0.22,0.24,0.28007948356244705,0.2957812036812461,0.35412654246129066,2026-06-30,구별 연간 점유율
STAT_cda1caae8d02,구로구,구로구 시설관리공단,구로동로26길 54,철거,2017,2025,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_97228c730102,구로구,서울교통공사대림별관,도림천로 352,운영,2016,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_f5eb496803e2,구로구,온수동_공용이용시설,부일로1길 62,철거,2015,2024,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_afbd363d78f9,구로구,구로역1번출구 NC백화점,구로중앙로 174,운영,2014,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_717d49403232,구로구,구로구민회관,가마산로25길 21,운영,2014,,19,,,,,,,2026-06-30,구별 연간 점유율
