locker_stat_id,district,facility_name,address,operation_status,installed_year,removed_year,locker_count,snapshot_date,period,occupancy_rate,usage_count,year,period_end,months_observed,is_partial_year,installed_year_conflict,data_quality_status,occupancy_rate_pct,monthly_avg_usage
STAT_36245c05dd5b,은평구,청년취업사관학교 은평캠퍼스,은평로 245,운영,2014,,19,2026-06-30,2021,,3729.0,2021,2021-12-31,12,False,False,ok,,310.75
STAT_ecbf63ad99b3,은평구,증산 정보도서관,증산로5길 6,철거,2013,2025,33,2026-06-30,2021,,6849.0,2021,2021-12-31,12,False,False,ok,,570.75
STAT_dba52d4dc13c,서대문구,청년누리,증가로4길 8-45,운영,2019,,12,2026-06-30,2021,0.27,899.0,2021,2021-12-31,12,False,False,ok,27.0,74.91666666666667
STAT_3209c0b76906,서대문구,남가좌2동 제2공영주차장,명지대5길 10-8,운영,,,12,2026-06-30,2021,,233.0,2021,2021-12-31,12,False,False,ok,,19.416666666666668
STAT_6a637bb15cd7,서대문구,신한은행_남가좌동점,서대문구 수색로2길 36(남가좌동),운영,,,12,2026-06-30,2021,,,2021,2021-12-31,12,False,True,source_conflict,,
STAT_7e17681867dd,서대문구,신한은행 명지대 지점,거북골로 45(남가좌동),운영,2019,,12,2026-06-30,2021,,920.0,2021,2021-12-31,12,False,False,ok,,76.66666666666667
STAT_cf3f5621fd55,서대문구,홍제3동 주민센터,세검정로4길 32,운영,2017,,12,2026-06-30,2021,,1645.0,2021,2021-12-31,12,False,False,ok,,137.08333333333334
STAT_31fbd643fef2,서대문구,홍은2동 주민센터,모래내로 334,운영,2017,,19,2026-06-30,2021,,2592.0,2021,2021-12-31,12,False,False,ok,,216.0
STAT_9a4437a9e8b3,서대문구,연희동주민센터,연희로 189,운영,2016,,19,2026-06-30,2021,,2522.0,2021,2021-12-31,12,False,False,ok,,210.16666666666666
STAT_1646029bae43,서대문구,홍은1동주민센터,홍은중앙로 85,운영,,,19,2026-06-30,2021,,1992.0,2021,2021-12-31,12,False,False,ok,,166.0
STAT_cba02c66855e,서대문구,신한은행_연희동점,서대문구 연희맛로 28,운영,2022,,12,2026-06-30,2021,,,2021,2021-12-31,12,False,False,ok,,
