locker_stat_id,district,facility_name,address,operation_status,installed_year,removed_year,locker_count,2021,2022,2023,2024,2025,2026_h1,snapshot_date,source_sheet
STAT_f5a46a229b66,성북구,아리랑 시네미디어센터,아리랑로 82,운영,2014,,19,2840.0,3102.0,3389.0,3519.0,3305.0,1211.0,2026-06-30,개소별 이용건수
STAT_3a978882743c,성북구,장위1동 주민센터,장위로 61,운영,2014,,19,4983.0,3941.0,3909.0,3356.0,3676.0,1808.0,2026-06-30,개소별 이용건수
STAT_11e6f823fec9,강북구,미아사거리역 1번출구,도봉로 50,운영,,,19,202.0,2096.0,3405.0,4237.0,4308.0,2140.0,2026-06-30,개소별 이용건수
STAT_a95f5efae027,강북구,강북노인종합복지회관,삼양로92길 40,철거,2017,2024,19,1643.0,1185.0,668.0,,,,2026-06-30,개소별 이용건수
STAT_df869c0261ad,강북구,솔밭근린공원 개방화장실,삼양로 561,운영,2016,,19,3020.0,3664.0,4153.0,3109.0,2920.0,1406.0,2026-06-30,개소별 이용건수
STAT_6cd2ae161b97,강북구,강북문화예술회관,삼각산로 85,철거,2016,2025,19,2059.0,1567.0,1213.0,997.0,,,2026-06-30,개소별 이용건수
STAT_8c9981ad567d,강북구,번동북부시장 북부마트,한천로123길 26,운영,2016,,19,2333.0,1299.0,1358.0,997.0,788.0,511.0,2026-06-30,개소별 이용건수
STAT_02ce211a73ff,강북구,수유역1번출구,도봉로 338,운영,2015,,19,3381.0,3467.0,3659.0,3407.0,4059.0,2297.0,2026-06-30,개소별 이용건수
STAT_6877775a2b50,강북구,미아동 복합청사,솔매로49길 14,운영,2014,,19,4792.0,4573.0,4012.0,3770.0,3343.0,1487.0,2026-06-30,개소별 이용건수
STAT_b9455df15715,강북구,강북구청 본관 입구,도봉로89길 13,철거,2014,2025,19,3642.0,3871.0,2844.0,3399.0,,,2026-06-30,개소별 이용건수
STAT_3462bd604e62,강북구,수유1동 주민센터,삼양로 299,운영,2013,,19,4706.0,5390.0,4364.0,4135.0,3334.0,1360.0,2026-06-30,개소별 이용건수
STAT_25c8fb76df82,도봉구,염광교회,도봉로120길 16,운영,2017,,19,1730.0,3237.0,2468.0,1214.0,1474.0,606.0,2026-06-30,개소별 이용건수
STAT_2d1a4ae7e6b6,도봉구,창3동 주민센터,덕릉로62길 89,운영,2017,,19,1941.0,1656.0,1521.0,1286.0,1259.0,703.0,2026-06-30,개소별 이용건수
STAT_c44b7c117080,도봉구,도봉구민회관,도봉로 552,운영,2016,,19,4637.0,4749.0,3983.0,4630.0,4569.0,2287.0,2026-06-30,개소별 이용건수
STAT_889ddcfc8dad,도봉구,창동 도봉육아종합지원센터,우이천로4길 24-5,철거,2016,2024,12,1421.0,1188.0,856.0,,,,2026-06-30,개소별 이용건수
STAT_abdc15a2769f,도봉구,도봉서원종합사회복지관,마들로 668,운영,2014,,19,2194.0,1875.0,2122.0,1970.0,1679.0,20.0,2026-06-30,개소별 이용건수
STAT_edd0ce707057,도봉구,방아골종합사회복지관,시루봉로17길 42,운영,2014,,19,1567.0,2165.0,1856.0,1135.0,1237.0,639.0,2026-06-30,개소별 이용건수
STAT_db61cb773620,도봉구,창동역1번출구,마들로11길 77,철거,2013,2024,26,5067.0,6165.0,5328.0,,,,2026-06-30,개소별 이용건수
STAT_bbe947b6127e,도봉구,도봉구민청,마들로 656,철거,,2022,,170.0,,,,,,2026-06-30,개소별 이용건수
STAT_f2e61d5d0c1c,도봉구,창1동제1공영주차장,도봉로112길 43,철거,2016,2023,,2931.0,258.0,,,,,2026-06-30,개소별 이용건수
STAT_9f573acbdc9c,도봉구,도봉1동주민센터,도봉로169나길 22,운영,2013,,19,3011.0,2797.0,2525.0,2140.0,1992.0,849.0,2026-06-30,개소별 이용건수
STAT_f9c7836a82e2,도봉구,창2동 신창교회,덕릉로 247,운영,2018,,12,1903.0,1914.0,1696.0,1860.0,1882.0,1183.0,2026-06-30,개소별 이용건수
STAT_550e7be8d55a,노원구,공릉종합사회복지관,동일로 1127 공릉아파트,운영,2019,,12,1030.0,1026.0,700.0,966.0,1046.0,455.0,2026-06-30,개소별 이용건수
STAT_973c52013a4d,노원구,상계문화정보도서관,동일로 243길 57,운영,2020,,19,702.0,521.0,1247.0,1556.0,1346.0,725.0,2026-06-30,개소별 이용건수
STAT_607b1e6c65c7,노원구,상계2동주민센터,상계로 118,운영,2016,,19,3098.0,2915.0,3746.0,4187.0,3481.0,1742.0,2026-06-30,개소별 이용건수
STAT_c95c9f143485,노원구,"상계3,4동 주민센터",덕릉로 859,운영,2014,,19,2114.0,1480.0,1043.0,950.0,579.0,360.0,2026-06-30,개소별 이용건수
STAT_7139e11611c8,노원구,상계역 자전거대여소,상계로 190,운영,2014,,33,7235.0,5819.0,6960.0,6655.0,5848.0,3510.0,2026-06-30,개소별 이용건수
STAT_796f54c33f16,노원구,공릉 청소년문화정보센터,노원로1나길 10,운영,2013,,19,3114.0,3748.0,3293.0,3336.0,2799.0,1221.0,2026-06-30,개소별 이용건수
STAT_6a4e2e43208e,노원구,공릉1동 주민센터(노원),동일로186길 3-24,운영,2016,,19,2984.0,3135.0,3587.0,3063.0,2831.0,1096.0,2026-06-30,개소별 이용건수
STAT_a37f33e680d0,노원구,월계문화정보도서관,월계로 319,철거,2015,2023,19,3198.0,2893.0,,,,,2026-06-30,개소별 이용건수
STAT_a66288880b6e,노원구,월계치안센터,석계로 93,철거,2018,2024,19,1952.0,2005.0,2557.0,,,,2026-06-30,개소별 이용건수
STAT_3b4b3b6074fc,은평구,역촌동 주민센터,연서로 59,운영,2013,,19,4397.0,3854.0,3345.0,3831.0,3732.0,2128.0,2026-06-30,개소별 이용건수
STAT_93f602e43c1c,은평구,갈현1동 주민센터,갈현로 301,운영,2013,,26,4969.0,3642.0,2216.0,2582.0,2207.0,1188.0,2026-06-30,개소별 이용건수
STAT_769ff5af10db,은평구,갈현청소년센터쉼쉼,통일로89길 6-20,운영,2020,,12,111.0,259.0,382.0,469.0,591.0,288.0,2026-06-30,개소별 이용건수
STAT_56dbf40af347,은평구,연신내 지구대,갈현로 195,운영,2016,,19,2640.0,2192.0,3005.0,2324.0,2517.0,1123.0,2026-06-30,개소별 이용건수
STAT_5598f8ce4998,은평구,구산동주민센터,갈현로17길 10,운영,2015,,19,2382.0,2453.0,2493.0,2042.0,1950.0,1039.0,2026-06-30,개소별 이용건수
STAT_a0a6df8187c3,은평구,불광보건소,연서로 34길 11,철거,2016,2024,,1130.0,1144.0,1201.0,,,,2026-06-30,개소별 이용건수
STAT_b967fdd81b04,은평구,시립은평청소년센터,백련산로4길 16,철거,,2022,,21.0,,,,,,2026-06-30,개소별 이용건수
STAT_700eff018d51,은평구,아인스하임,은평터널로7가길 8,철거,,2022,,185.0,,,,,,2026-06-30,개소별 이용건수
STAT_8420add40d30,은평구,신사종합사회복지관,은평로 38,운영,2014,,26,3648.0,3983.0,4139.0,4826.0,4658.0,2185.0,2026-06-30,개소별 이용건수
STAT_b7135035db3d,은평구,불광1동 치안센터,불광로 129,운영,2014,,19,4028.0,4265.0,3872.0,4271.0,4459.0,1557.0,2026-06-30,개소별 이용건수
STAT_36245c05dd5b,은평구,청년취업사관학교 은평캠퍼스,은평로 245,운영,2014,,19,3729.0,3426.0,3220.0,3841.0,4014.0,2037.0,2026-06-30,개소별 이용건수
STAT_ecbf63ad99b3,은평구,증산 정보도서관,증산로5길 6,철거,2013,2025,33,6849.0,6472.0,6169.0,6509.0,,,2026-06-30,개소별 이용건수
STAT_dba52d4dc13c,서대문구,청년누리,증가로4길 8-45,운영,2019,,12,899.0,1307.0,1698.0,2345.0,2132.0,798.0,2026-06-30,개소별 이용건수
STAT_3209c0b76906,서대문구,남가좌2동 제2공영주차장,명지대5길 10-8,운영,,,12,233.0,518.0,492.0,588.0,670.0,369.0,2026-06-30,개소별 이용건수
