자치구,시설물명,주소,운영여부,설치연도,철거연도,칸수,2021년,2022년,2023년,2024년,2025년,2026년 6월
,금천구청,시흥대로73길 70,운영,2018,,19.0,2380,1773,2026,1568,1884,983
영등포구,영등포청소년상담복지센터,도영로22길 36,철거,-,2024.0,12.0,871,635,647,-,-,-
,영등포 제1스포츠센터,신풍로 1,운영,2013,,19.0,2427,2516,2284,1744,1200,637
,신길6동복지관,대방천로 193,운영,-,,12.0,901,1484,1602,1121,1517,1029
,영등포 평생학습관,버드나루로15길 10,운영,2017,,12.0,1769,1833,1667,1902,1859,727
,영등포본동주민센터,신길로61길 17,운영,2016,,19.0,2519,2960,2718,3781,3650,1408
,신길4동1동1마을공영주차장,신길로40길 5,운영,2016,,19.0,2854,2728,2896,2360,1762,520
,신길7동 주민센터,여의대방로43길 10,운영,2015,,19.0,2564,2444,2476,2335,2366,1278
,도림동 주민센터,도영로7길 10,운영,2014,,19.0,2728,2314,1974,1813,1329,620
,다사랑어린이공원(경로당),대림로23가길 5,운영,2013,,12.0,951,990,382,541,356,173
,신길1동 주민센터,영등포로84길 24-5,운영,2013,,19.0,2548,2677,3257,2830,2812,1146
,대림도서관,도신로 27,운영,2013,,26.0,3173,3068,2112,1859,2030,764
,그린케어센터,당산로29길 9,운영,2013,,19.0,3401,3405,2760,3591,3460,1826
동작구,스페이스살림,노량진로 10,운영,2021,,19.0,32,718,1298,2684,2379,869
,사당종합체육관,사당로27길 232,운영,2022,,12.0,-,204,237,645,308,148
,신한은행 숭실대역 지점,상도로37길 76 (상도동),운영,2019,,12.0,1399,1086.1083333333333,1100,551,562,236
,순만빌딩,노량진로 169,운영,2017,,19.0,2605,3120,2435,2627,2585,865
,사당문화회관,사당로8길 9,운영,2016,,19.0,3185,2800,1920,2592,2266,1219
,상도1동주민센터,상도로53길 9,운영,2016,,19.0,2479,2992,2561,3156,2860,1180
,예그리나주택,국사봉8길 47,철거,2015,2025.0,19.0,1262,1154,786,639,-,-
,강남교회 교육관,만양로 76,운영,2014,,19.0,2091,1673,1734,1996,1183,561
,동작청소년센터,상도로15바길 5,운영,2014,,19.0,1434,1175,1312,1426,756,341
,kb국민은행 동작구청지점,장승배기로 161,운영,2013,,47.0,9614,7866,6990,7121,4000,926
,사당노인종합복지관,남부순환로 2081,운영,2013,,19.0,3103,1878,1891,2316,2018,1191
,상도3동 주민센터,성대로2길 11,운영,2013,,33.0,6790,5195,4623,4308,4401,2720
,신대방해피점,신대방1나길 26,철거,-,2026.0,12.0,693,712,911,740,670,-
,현대오일뱅크_사당셀프주유소,동작대로 73,운영,2019,,12.0,1080,1173.3194444444443,1954,1722,1833,1018
관악구,미성체육관,난우16길 37,운영,2023,,12.0,-,-,851,535,542,231
,신한은행_신림역,관악구 신림동 남부순환로 1590,운영,2022,,12.0,-,26,565,1554,1397,685
